## commandLine options:
## {'ConfigFileName': 'SkemaMON.cfg'}
## Config used
# [Filter]
# outputdateformat = %Y-%m-%d
# class = 11OIT1bH2
# inputdateformat = %Y-%m-%d
# subject = Networking
# [SkemaScraper2012]
# year = 2012
# teacherid = 5421
# outputdateformat = %Y-%m-%d
# lastweek = 4
# inputdateformat = %d-%m-%Y
# firstweek = 1
# [ExportTextDefault]
# outputdateformat = %Y-%m-%d
# template = Date: $Date; StartTime: $StartTime; EndTime: $EndTime; Location: $Location; Class: $Class; Subject: $Subject;
# [SkemaScraper]
# year = 2011
# teacherid = 5421
# outputdateformat = %Y-%m-%d
# lastweek = 52
# inputdateformat = %d-%m-%Y
# firstweek = 33
# [ExportText]
# outputdateformat = %Y-%m-%d
# inputdateformat = %Y-%m-%d
# template = $EventCount $StartTime ($Multiplicity) $Class $Subject
#

Date: 2011-10-07; StartTime: 2011-10-06 13:15:00; EndTime: 2011-10-06 14:00:00; Location: b-1.44; Class: 11OIT3bH2; Subject: IT Security; 
Date: 2011-10-07; StartTime: 2011-10-07 08:30:00; EndTime: 2011-10-07 09:15:00; Location: b-1.44; Class: 11OIT3bH2; Subject: Adv. networking; 
Date: 2011-10-07; StartTime: 2011-10-07 09:15:00; EndTime: 2011-10-07 10:00:00; Location: b-1.44; Class: 11OIT3bH2; Subject: Adv. networking; 
Date: 2011-10-07; StartTime: 2011-10-07 10:20:00; EndTime: 2011-10-07 11:05:00; Location: b-1.41; Class: 11OIT1aH2; Subject: Datacom.; 
Date: 2011-10-07; StartTime: 2011-10-07 11:05:00; EndTime: 2011-10-07 11:50:00; Location: b-1.41; Class: 11OIT1aH2; Subject: Datacom.; 
Date: 2011-10-07; StartTime: 2011-10-07 12:30:00; EndTime: 2011-10-07 13:15:00; Location: b-1.41; Class: 11OIT1aH2; Subject: Datacom.; 
Date: 2011-10-10; StartTime: 2011-10-07 13:15:00; EndTime: 2011-10-07 14:00:00; Location: b-1.41; Class: 11OIT1aH2; Subject: Datacom.; 
Date: 2011-10-10; StartTime: 2011-10-10 10:20:00; EndTime: 2011-10-10 11:05:00; Location: b-1.44; Class: 11OIT3bH2; Subject: Adv. networking; 
Date: 2011-10-10; StartTime: 2011-10-10 11:05:00; EndTime: 2011-10-10 11:50:00; Location: b-1.44; Class: 11OIT3bH2; Subject: Adv. networking; 
Date: 2011-10-10; StartTime: 2011-10-10 12:30:00; EndTime: 2011-10-10 13:15:00; Location: b-1.44; Class: 11OIT3bH2; Subject: IT Security; 
Date: 2011-10-11; StartTime: 2011-10-10 13:15:00; EndTime: 2011-10-10 14:00:00; Location: b-1.44; Class: 11OIT3bH2; Subject: IT Security; 
Date: 2011-10-11; StartTime: 2011-10-11 10:20:00; EndTime: 2011-10-11 11:05:00; Location: b-1.41; Class: 11OIT1aH2; Subject: Datacom.; 
Date: 2011-10-11; StartTime: 2011-10-11 11:05:00; EndTime: 2011-10-11 11:50:00; Location: b-1.41; Class: 11OIT1aH2; Subject: Datacom.; 
Date: 2011-10-11; StartTime: 2011-10-11 12:30:00; EndTime: 2011-10-11 13:15:00; Location: b-1.44; Class: 11OIT3bH2; Subject: Adv. networking; 
Date: 2011-10-12; StartTime: 2011-10-11 13:15:00; EndTime: 2011-10-11 14:00:00; Location: b-1.44; Class: 11OIT3bH2; Subject: Adv. networking; 
Date: 2011-10-12; StartTime: 2011-10-12 08:30:00; EndTime: 2011-10-12 09:15:00; Location: b-1.44; Class: 11OIT3bH2; Subject: IT Security; 
Date: 2011-10-12; StartTime: 2011-10-12 09:15:00; EndTime: 2011-10-12 10:00:00; Location: b-1.44; Class: 11OIT3bH2; Subject: IT Security; 
Date: 2011-10-12; StartTime: 2011-10-12 10:20:00; EndTime: 2011-10-12 11:05:00; Location: b-1.44; Class: 11OIT3bH2; Subject: IT Security; 
Date: 2011-10-12; StartTime: 2011-10-12 11:05:00; EndTime: 2011-10-12 11:50:00; Location: b-1.44; Class: 11OIT3bH2; Subject: IT Security; 
Date: 2011-10-12; StartTime: 2011-10-12 12:30:00; EndTime: 2011-10-12 13:15:00; Location: b-1.41; Class: 11OIT1aH2; Subject: Datacom.; 
Date: 2011-10-13; StartTime: 2011-10-12 13:15:00; EndTime: 2011-10-12 14:00:00; Location: b-1.41; Class: 11OIT1aH2; Subject: Datacom.; 
Date: 2011-10-13; StartTime: 2011-10-13 08:30:00; EndTime: 2011-10-13 09:15:00; Location: b-1.41; Class: 11OIT1aH2; Subject: Datacom.; 
Date: 2011-10-13; StartTime: 2011-10-13 09:15:00; EndTime: 2011-10-13 10:00:00; Location: b-1.41; Class: 11OIT1aH2; Subject: Datacom.; 
Date: 2011-10-13; StartTime: 2011-10-13 10:20:00; EndTime: 2011-10-13 11:05:00; Location: b-1.44; Class: 11OIT3bH2; Subject: Adv. networking; 
Date: 2011-10-24; StartTime: 2011-10-13 11:05:00; EndTime: 2011-10-13 11:50:00; Location: b-1.44; Class: 11OIT3bH2; Subject: Adv. networking; 
Date: 2011-10-24; StartTime: 2011-10-24 08:10:00; EndTime: 2011-10-24 08:55:00; Location: ; Class: ; Subject: Akt:; 
Date: 2011-10-24; StartTime: 2011-10-24 08:55:00; EndTime: 2011-10-24 09:40:00; Location: ; Class: ; Subject: Akt:; 
Date: 2011-10-24; StartTime: 2011-10-24 10:10:00; EndTime: 2011-10-24 10:55:00; Location: ; Class: ; Subject: Akt:; 
Date: 2011-10-24; StartTime: 2011-10-24 10:55:00; EndTime: 2011-10-24 11:40:00; Location: ; Class: ; Subject: Akt:; 
Date: 2011-10-24; StartTime: 2011-10-24 12:10:00; EndTime: 2011-10-24 12:55:00; Location: ; Class: ; Subject: Akt:; 
Date: 2011-10-24; StartTime: 2011-10-24 12:55:00; EndTime: 2011-10-24 13:40:00; Location: ; Class: ; Subject: Akt:; 
Date: 2011-10-24; StartTime: 2011-10-24 14:00:00; EndTime: 2011-10-24 14:45:00; Location: ; Class: ; Subject: Akt:; 
Date: 2011-10-25; StartTime: 2011-10-24 14:45:00; EndTime: 2011-10-24 15:30:00; Location: ; Class: ; Subject: Akt:; 
Date: 2011-10-25; StartTime: 2011-10-25 08:10:00; EndTime: 2011-10-25 08:55:00; Location: ; Class: ; Subject: Akt:; 
Date: 2011-10-25; StartTime: 2011-10-25 08:55:00; EndTime: 2011-10-25 09:40:00; Location: ; Class: ; Subject: Akt:; 
Date: 2011-10-25; StartTime: 2011-10-25 10:10:00; EndTime: 2011-10-25 10:55:00; Location: ; Class: ; Subject: Akt:; 
Date: 2011-10-25; StartTime: 2011-10-25 10:55:00; EndTime: 2011-10-25 11:40:00; Location: ; Class: ; Subject: Akt:; 
Date: 2011-10-25; StartTime: 2011-10-25 12:10:00; EndTime: 2011-10-25 12:55:00; Location: ; Class: ; Subject: Akt:; 
Date: 2011-10-25; StartTime: 2011-10-25 12:55:00; EndTime: 2011-10-25 13:40:00; Location: ; Class: ; Subject: Akt:; 
Date: 2011-10-25; StartTime: 2011-10-25 14:00:00; EndTime: 2011-10-25 14:45:00; Location: ; Class: ; Subject: Akt:; 
Date: 2011-10-26; StartTime: 2011-10-25 14:45:00; EndTime: 2011-10-25 15:30:00; Location: ; Class: ; Subject: Akt:; 
Date: 2011-10-26; StartTime: 2011-10-26 10:20:00; EndTime: 2011-10-26 11:05:00; Location: b-1.44; Class: 11OIT3bH2; Subject: Project 2; 
Date: 2011-10-26; StartTime: 2011-10-26 11:05:00; EndTime: 2011-10-26 11:50:00; Location: b-1.44; Class: 11OIT3bH2; Subject: Project 2; 
Date: 2011-10-26; StartTime: 2011-10-26 12:30:00; EndTime: 2011-10-26 13:15:00; Location: b-1.44; Class: 11OIT3bH2; Subject: Project 2; 
Date: 2011-10-27; StartTime: 2011-10-26 13:15:00; EndTime: 2011-10-26 14:00:00; Location: b-1.44; Class: 11OIT3bH2; Subject: Project 2; 
Date: 2011-10-27; StartTime: 2011-10-27 10:20:00; EndTime: 2011-10-27 11:05:00; Location: b-1.44; Class: 11OIT3bH2; Subject: Project 2; 
Date: 2011-10-31; StartTime: 2011-10-27 11:05:00; EndTime: 2011-10-27 11:50:00; Location: b-1.44; Class: 11OIT3bH2; Subject: Project 2; 
Date: 2011-10-31; StartTime: 2011-10-31 08:30:00; EndTime: 2011-10-31 09:15:00; Location: b-1.44; Class: 11OIT3bH2; Subject: Project 2; 
Date: 2011-10-31; StartTime: 2011-10-31 09:15:00; EndTime: 2011-10-31 10:00:00; Location: b-1.44; Class: 11OIT3bH2; Subject: Project 2; 
Date: 2011-10-31; StartTime: 2011-10-31 10:20:00; EndTime: 2011-10-31 11:05:00; Location: b-1.55; Class: 11OIT1bH2; Subject: System Design; 
Date: 2011-10-31; StartTime: 2011-10-31 11:05:00; EndTime: 2011-10-31 11:50:00; Location: b-1.55; Class: 11OIT1bH2; Subject: System Design; 
Date: 2011-10-31; StartTime: 2011-10-31 12:30:00; EndTime: 2011-10-31 13:15:00; Location: b-1.55; Class: 11OIT1bH2; Subject: Networking; 
Date: 2011-11-02; StartTime: 2011-10-31 13:15:00; EndTime: 2011-10-31 14:00:00; Location: b-1.55; Class: 11OIT1bH2; Subject: Networking; 
Date: 2011-11-02; StartTime: 2011-11-02 08:30:00; EndTime: 2011-11-02 09:15:00; Location: b-1.44; Class: 11OIT3bH2; Subject: Project 2; 
Date: 2011-11-02; StartTime: 2011-11-02 09:15:00; EndTime: 2011-11-02 10:00:00; Location: b-1.44; Class: 11OIT3bH2; Subject: Project 2; 
Date: 2011-11-02; StartTime: 2011-11-02 10:20:00; EndTime: 2011-11-02 11:05:00; Location: b-1.44; Class: 11OIT3bH2; Subject: Project 2; 
Date: 2011-11-04; StartTime: 2011-11-02 11:05:00; EndTime: 2011-11-02 11:50:00; Location: b-1.44; Class: 11OIT3bH2; Subject: Project 2; 
Date: 2011-11-04; StartTime: 2011-11-04 08:30:00; EndTime: 2011-11-04 09:15:00; Location: b-1.55; Class: 11OIT1bH2; Subject: System Design; 
Date: 2011-11-04; StartTime: 2011-11-04 09:15:00; EndTime: 2011-11-04 10:00:00; Location: b-1.55; Class: 11OIT1bH2; Subject: System Design; 
Date: 2011-11-04; StartTime: 2011-11-04 10:20:00; EndTime: 2011-11-04 11:05:00; Location: b-1.55; Class: 11OIT1bH2; Subject: Networking; 
Date: 2011-11-07; StartTime: 2011-11-04 11:05:00; EndTime: 2011-11-04 11:50:00; Location: b-1.55; Class: 11OIT1bH2; Subject: Networking; 
