# [SkemaScraper]
# teacherid = 5421
# firstweek = 4
# lastweek = 27
# year = 2012
# inputdateformat = %d-%m-%Y
# outputdateformat = %Y-%m-%d
# [ExportIcs]
# outfile = MON_2012S.ics
# inputdateformat = %Y-%m-%d
#

Date: 2012-05-15; StartTime: 2012-05-15 09:15:00; EndTime: 2012-05-15 10:00:00; Location: b-1.44; Class: 12OIT4bS1; Subject: Counselling; Teacher: mon; 
Date: 2012-05-15; StartTime: 2012-05-15 10:20:00; EndTime: 2012-05-15 11:05:00; Location: b-1.55; Class: 12OIT2bH1; Subject: IT Security; Teacher: mon; 
Date: 2012-05-21; StartTime: 2012-05-15 11:05:00; EndTime: 2012-05-15 11:50:00; Location: b-1.55; Class: 12OIT2bH1; Subject: IT Security; Teacher: mon; 
Date: 2012-05-21; StartTime: 2012-05-21 08:30:00; EndTime: 2012-05-21 09:15:00; Location: b-1.44; Class: 12OIT4bS1; Subject: Counselling; Teacher: mon; 
Date: 2012-05-21; StartTime: 2012-05-21 09:15:00; EndTime: 2012-05-21 10:00:00; Location: b-1.44; Class: 12OIT4bS1; Subject: Counselling; Teacher: mon; 
Date: 2012-05-21; StartTime: 2012-05-21 10:20:00; EndTime: 2012-05-21 11:05:00; Location: b-1.55; Class: 12OIT2bH1; Subject: Networking; Teacher: mon; 
Date: 2012-05-21; StartTime: 2012-05-21 11:05:00; EndTime: 2012-05-21 11:50:00; Location: b-1.55; Class: 12OIT2bH1; Subject: Networking; Teacher: mon; 
Date: 2012-05-21; StartTime: 2012-05-21 12:30:00; EndTime: 2012-05-21 13:15:00; Location: b-1.55; Class: 12OIT2bH1; Subject: IT Security; Teacher: mon; 
Date: 2012-05-22; StartTime: 2012-05-21 13:15:00; EndTime: 2012-05-21 14:00:00; Location: b-1.55; Class: 12OIT2bH1; Subject: IT Security; Teacher: mon; 
Date: 2012-05-22; StartTime: 2012-05-22 08:30:00; EndTime: 2012-05-22 09:15:00; Location: b-1.44; Class: 12OIT4bS1; Subject: Counselling; Teacher: mon; 
Date: 2012-05-22; StartTime: 2012-05-22 09:15:00; EndTime: 2012-05-22 10:00:00; Location: b-1.44; Class: 12OIT4bS1; Subject: Counselling; Teacher: mon; 
Date: 2012-05-22; StartTime: 2012-05-22 10:20:00; EndTime: 2012-05-22 11:05:00; Location: b-1.55; Class: 12OIT2bH1; Subject: Networking; Teacher: mon; 
Date: 2012-05-22; StartTime: 2012-05-22 11:05:00; EndTime: 2012-05-22 11:50:00; Location: b-1.55; Class: 12OIT2bH1; Subject: Networking; Teacher: mon; 
Date: 2012-05-22; StartTime: 2012-05-22 12:30:00; EndTime: 2012-05-22 13:15:00; Location: b-1.55; Class: 12OIT2bH1; Subject: IT Security; Teacher: mon; 
Date: 2012-05-29; StartTime: 2012-05-22 13:15:00; EndTime: 2012-05-22 14:00:00; Location: b-1.55; Class: 12OIT2bH1; Subject: IT Security; Teacher: mon; 
Date: 2012-05-29; StartTime: 2012-05-29 10:20:00; EndTime: 2012-05-29 11:05:00; Location: b-1.55; Class: 12OIT2bH1; Subject: Networking; Teacher: mon; 
